Objeto,Confianza,Coordenadas
car,0.74,"(294, 288, 368, 327)"
car,0.63,"(92, 166, 146, 196)"
car,0.53,"(36, 404, 125, 469)"
car,0.52,"(549, 281, 624, 320)"
truck,0.32,"(457, 196, 544, 238)"
car,0.82,"(171, 333, 243, 372)"
car,0.72,"(286, 285, 362, 326)"
car,0.64,"(91, 166, 145, 196)"
car,0.53,"(548, 281, 623, 320)"
car,0.49,"(46, 407, 135, 471)"
car,0.83,"(159, 330, 231, 369)"
car,0.74,"(278, 284, 352, 323)"
car,0.61,"(90, 168, 146, 198)"
car,0.49,"(549, 281, 623, 320)"
car,0.44,"(54, 410, 145, 473)"
truck,0.38,"(456, 171, 558, 238)"
car,0.8,"(268, 282, 345, 321)"
car,0.77,"(148, 327, 219, 366)"
car,0.62,"(89, 167, 145, 197)"
car,0.49,"(549, 281, 623, 320)"
truck,0.49,"(456, 172, 558, 238)"
car,0.42,"(66, 413, 155, 477)"
car,0.78,"(137, 325, 209, 363)"
car,0.78,"(261, 281, 335, 319)"
car,0.6,"(90, 167, 145, 197)"
car,0.48,"(550, 281, 623, 320)"
truck,0.4,"(456, 172, 558, 238)"
car,0.81,"(126, 321, 197, 360)"
car,0.77,"(253, 278, 326, 317)"
car,0.63,"(90, 167, 144, 197)"
car,0.45,"(550, 281, 623, 320)"
truck,0.36,"(455, 172, 557, 238)"
car,0.32,"(81, 420, 175, 477)"
car,0.83,"(114, 319, 186, 356)"
car,0.8,"(244, 277, 319, 316)"
car,0.67,"(89, 167, 143, 197)"
car,0.43,"(550, 281, 623, 320)"
truck,0.37,"(455, 172, 557, 238)"
car,0.8,"(104, 316, 175, 355)"
car,0.77,"(237, 274, 310, 312)"
car,0.67,"(89, 166, 143, 197)"
car,0.43,"(551, 281, 623, 320)"
truck,0.37,"(455, 172, 556, 238)"
car,0.82,"(93, 313, 164, 352)"
car,0.81,"(229, 272, 302, 311)"
car,0.63,"(89, 167, 143, 197)"
car,0.47,"(550, 281, 623, 319)"
truck,0.38,"(455, 172, 556, 238)"
car,0.84,"(221, 271, 294, 309)"
car,0.78,"(81, 310, 156, 348)"
car,0.58,"(89, 167, 143, 197)"
car,0.48,"(550, 281, 623, 319)"
truck,0.38,"(454, 172, 556, 238)"
truck,0.32,"(454, 192, 546, 238)"
car,0.77,"(70, 308, 141, 345)"
car,0.76,"(214, 268, 289, 307)"
car,0.63,"(89, 167, 143, 197)"
car,0.43,"(550, 281, 623, 319)"
truck,0.36,"(454, 172, 557, 238)"
truck,0.32,"(454, 193, 545, 238)"
car,0.82,"(59, 304, 130, 342)"
car,0.75,"(206, 268, 279, 305)"
car,0.64,"(89, 167, 143, 197)"
truck,0.4,"(454, 171, 557, 238)"
car,0.4,"(550, 281, 623, 319)"
truck,0.34,"(454, 192, 545, 238)"
car,0.84,"(49, 303, 119, 340)"
car,0.83,"(198, 264, 272, 303)"
car,0.65,"(88, 168, 143, 197)"
car,0.39,"(550, 281, 623, 319)"
truck,0.39,"(453, 171, 556, 238)"
truck,0.33,"(453, 190, 547, 238)"
car,0.85,"(37, 300, 108, 337)"
car,0.77,"(192, 262, 263, 301)"
car,0.68,"(89, 168, 143, 196)"
truck,0.44,"(453, 171, 556, 238)"
car,0.41,"(551, 281, 623, 319)"
car,0.83,"(27, 297, 98, 334)"
